Instancia;Nº de ejemplares;Matriz;Modelo;k;best_eps;Silhouette;Calinski;Davies;Ruido_DBSCAN;%_Ruido_DBSCAN
1;108;tiempo;kmeans;2;;0.035;4.741;4.714;;
1;108;tiempo;agg_ward;2;;0.037;3.599;4.94;;
1;108;tiempo;dbscan;0;0.0;0.0;0.0;0.0;108.0;100.0
1;108;coincidencia;kmeans;2;;0.026;3.929;5.183;;
1;108;coincidencia;agg_ward;2;;0.015;3.111;5.647;;
1;108;coincidencia;dbscan;0;0.0;0.0;0.0;0.0;108.0;100.0
1;108;coincidencia_30;kmeans;2;;0.027;4.125;5.06;;
1;108;coincidencia_30;agg_ward;2;;0.015;3.137;5.382;;
1;108;coincidencia_30;dbscan;0;0.0;0.0;0.0;0.0;108.0;100.0
2;37;tiempo;kmeans;2;;0.05;3.062;3.333;;
2;37;tiempo;agg_ward;2;;0.048;2.888;3.463;;
2;37;tiempo;dbscan;2;1.3006;0.02;1.462;2.214;19.0;51.35
2;37;coincidencia;kmeans;2;;0.058;3.302;3.217;;
2;37;coincidencia;agg_ward;2;;0.055;3.258;3.229;;
2;37;coincidencia;dbscan;2;1.2653;0.048;1.502;2.051;26.0;70.27
2;37;coincidencia_30;kmeans;2;;0.052;3.154;3.308;;
2;37;coincidencia_30;agg_ward;2;;0.047;3.04;3.298;;
2;37;coincidencia_30;dbscan;3;1.2761;0.095;2.342;1.759;25.0;67.57
3;107;tiempo;kmeans;2;;0.03;4.064;5.056;;
3;107;tiempo;agg_ward;2;;0.027;3.17;5.56;;
3;107;tiempo;dbscan;0;0.0;0.0;0.0;0.0;107.0;100.0
3;107;coincidencia;kmeans;2;;0.026;4.03;4.366;;
3;107;coincidencia;agg_ward;2;;0.018;3.358;5.446;;
3;107;coincidencia;dbscan;0;0.0;0.0;0.0;0.0;107.0;100.0
3;107;coincidencia_30;kmeans;2;;0.026;4.172;4.914;;
3;107;coincidencia_30;agg_ward;2;;0.022;3.425;5.276;;
3;107;coincidencia_30;dbscan;0;0.0;0.0;0.0;0.0;107.0;100.0
4;66;tiempo;kmeans;2;;0.033;3.236;4.43;;
4;66;tiempo;agg_ward;2;;0.021;2.775;4.559;;
4;66;tiempo;dbscan;2;1.6047;0.046;1.978;2.378;35.0;53.03
4;66;coincidencia;kmeans;2;;0.032;3.318;4.345;;
4;66;coincidencia;agg_ward;2;;0.026;2.882;4.679;;
4;66;coincidencia;dbscan;2;1.4825;0.044;1.907;2.399;37.0;56.06
4;66;coincidencia_30;kmeans;2;;0.033;3.396;4.272;;
4;66;coincidencia_30;agg_ward;2;;0.022;2.876;4.266;;
4;66;coincidencia_30;dbscan;2;1.4753;0.048;2.073;2.577;37.0;56.06
5;28;tiempo;kmeans;2;;0.082;3.628;2.647;;
5;28;tiempo;agg_ward;2;;0.066;2.89;2.901;;
5;28;tiempo;dbscan;2;1.1434;0.139;2.716;1.652;18.0;64.29
5;28;coincidencia;kmeans;2;;0.057;2.744;3.069;;
5;28;coincidencia;agg_ward;3;;0.056;2.483;2.725;;
5;28;coincidencia;dbscan;0;0.0;0.0;0.0;0.0;28.0;100.0
5;28;coincidencia_30;kmeans;2;;0.062;2.899;2.955;;
5;28;coincidencia_30;agg_ward;2;;0.052;2.494;2.842;;
5;28;coincidencia_30;dbscan;2;1.1624;0.101;2.059;1.688;18.0;64.29
6;12;tiempo;kmeans;4;;0.155;2.664;1.31;;
6;12;tiempo;agg_ward;2;;0.122;2.74;1.898;;
6;12;tiempo;dbscan;0;0.0;0.0;0.0;0.0;12.0;100.0
6;12;coincidencia;kmeans;2;;0.172;3.708;1.597;;
6;12;coincidencia;agg_ward;4;;0.155;2.829;1.361;;
6;12;coincidencia;dbscan;0;0.0;0.0;0.0;0.0;12.0;100.0
6;12;coincidencia_30;kmeans;2;;0.174;3.729;1.593;;
6;12;coincidencia_30;agg_ward;2;;0.157;3.432;1.7;;
6;12;coincidencia_30;dbscan;0;0.0;0.0;0.0;0.0;12.0;100.0
7;41;tiempo;kmeans;2;;0.057;2.869;3.434;;
7;41;tiempo;agg_ward;3;;0.048;2.942;3.02;;
7;41;tiempo;dbscan;2;1.337;0.078;2.046;1.842;26.0;63.41
7;41;coincidencia;kmeans;2;;0.051;3.255;3.45;;
7;41;coincidencia;agg_ward;3;;0.054;3.179;2.885;;
7;41;coincidencia;dbscan;2;1.2257;0.175;2.864;1.443;33.0;80.49
7;41;coincidencia_30;kmeans;2;;0.052;3.294;3.405;;
7;41;coincidencia_30;agg_ward;2;;0.044;2.892;3.365;;
7;41;coincidencia_30;dbscan;3;1.2176;0.179;2.804;1.273;32.0;78.05
8;37;tiempo;kmeans;2;;0.061;3.497;3.122;;
8;37;tiempo;agg_ward;2;;0.049;2.951;3.424;;
8;37;tiempo;dbscan;3;1.2984;0.041;1.879;1.945;18.0;48.65
8;37;coincidencia;kmeans;2;;0.057;3.317;3.168;;
8;37;coincidencia;agg_ward;2;;0.048;3.179;3.163;;
8;37;coincidencia;dbscan;2;1.2069;0.093;2.367;1.932;23.0;62.16
8;37;coincidencia_30;kmeans;2;;0.058;3.435;3.136;;
8;37;coincidencia_30;agg_ward;2;;0.057;3.171;3.308;;
8;37;coincidencia_30;dbscan;2;1.1639;0.221;3.865;1.326;28.0;75.68
9;91;tiempo;kmeans;2;;0.034;4.218;4.58;;
9;91;tiempo;agg_ward;2;;0.039;3.806;4.515;;
9;91;tiempo;dbscan;0;0.0;0.0;0.0;0.0;91.0;100.0
9;91;coincidencia;kmeans;2;;0.027;3.503;5.029;;
9;91;coincidencia;agg_ward;2;;0.023;2.94;5.485;;
9;91;coincidencia;dbscan;0;0.0;0.0;0.0;0.0;91.0;100.0
9;91;coincidencia_30;kmeans;2;;0.031;3.38;4.906;;
9;91;coincidencia_30;agg_ward;2;;0.023;3.177;5.277;;
9;91;coincidencia_30;dbscan;0;0.0;0.0;0.0;0.0;91.0;100.0
10;111;tiempo;kmeans;2;;0.037;5.117;4.599;;
10;111;tiempo;agg_ward;2;;0.039;4.299;4.736;;
10;111;tiempo;dbscan;0;0.0;0.0;0.0;0.0;111.0;100.0
10;111;coincidencia;kmeans;2;;0.03;4.411;4.953;;
10;111;coincidencia;agg_ward;2;;0.024;3.96;5.2;;
10;111;coincidencia;dbscan;0;0.0;0.0;0.0;0.0;111.0;100.0
10;111;coincidencia_30;kmeans;2;;0.03;4.432;4.94;;
10;111;coincidencia_30;agg_ward;2;;0.025;3.511;5.474;;
10;111;coincidencia_30;dbscan;0;0.0;0.0;0.0;0.0;111.0;100.0
