ejemplar_id;rel_200;rel_201;rel_202;rel_203;rel_204;rel_205;rel_206;rel_207;rel_208;rel_209;rel_210;rel_211;rel_212;rel_213;rel_214;rel_215;rel_216;rel_217;rel_218;rel_219;rel_220;rel_221;rel_222;rel_223;cluster
200;0;49677;38603;27359;42986;35025;40781;26490;41008;30575;34665;35031;30103;37221;41389;36498;39924;52949;39239;29068;26497;36696;46052;40526;-1
201;49677;0;43917;39254;43743;41262;30395;36963;30485;28953;21561;24041;19175;30173;31748;33389;48381;28255;46331;25997;19947;27376;29089;31944;-1
202;38603;43917;0;37410;34989;31501;35534;46608;23415;28154;45071;35274;28718;37452;29327;28724;21849;29195;53239;22334;38815;33519;28304;35691;-1
203;27359;39254;37410;0;20659;51276;39782;32844;35820;48049;32713;37709;21597;32951;38246;29327;37814;35297;19157;27243;50245;40452;26283;19290;-1
204;42986;43743;34989;20659;0;19592;24780;25289;42177;37908;32089;48512;27634;23697;26696;39057;47711;31824;31569;28769;32226;21186;25448;27194;-1
205;35025;41262;31501;51276;19592;0;38424;38417;35038;39153;30273;27316;26407;39242;33796;31593;32784;43430;28255;45140;29505;28026;26767;27996;-1
206;40781;30395;35534;39782;24780;38424;0;29452;37898;45872;44952;45657;26354;52388;47359;35722;31548;34745;37313;33779;38177;35118;36996;29662;-1
207;26490;36963;46608;32844;25289;38417;29452;0;41587;30963;33499;37117;26944;41170;47123;41692;31495;26089;28245;32879;28878;26917;25430;34721;-1
208;41008;30485;23415;35820;42177;35038;37898;41587;0;41818;41172;44551;27438;20962;27315;52850;31729;30645;36864;44601;21910;51288;23643;40536;-1
209;30575;28953;28154;48049;37908;39153;45872;30963;41818;0;32193;58586;33641;42049;48913;37174;37067;30786;43794;57405;29407;46230;33030;40032;-1
210;34665;21561;45071;32713;32089;30273;44952;33499;41172;32193;0;30176;23541;33816;38535;35905;36581;25073;36848;38817;30723;42309;47213;31297;-1
211;35031;24041;35274;37709;48512;27316;45657;37117;44551;58586;30176;0;34319;33991;29950;33789;35107;45339;39744;43897;48898;19934;45822;42003;-1
212;30103;19175;28718;21597;27634;26407;26354;26944;27438;33641;23541;34319;0;21619;31225;31794;36908;22101;43129;29344;41710;42718;32944;28159;-1
213;37221;30173;37452;32951;23697;39242;52388;41170;20962;42049;33816;33991;21619;0;35744;39061;30330;34650;26860;45877;27059;16575;31366;32864;-1
214;41389;31748;29327;38246;26696;33796;47359;47123;27315;48913;38535;29950;31225;35744;0;33363;22123;38172;21797;39427;29644;35770;19742;22123;-1
215;36498;33389;28724;29327;39057;31593;35722;41692;52850;37174;35905;33789;31794;39061;33363;0;32486;30757;37839;48903;25262;21016;37125;21871;-1
216;39924;48381;21849;37814;47711;32784;31548;31495;31729;37067;36581;35107;36908;30330;22123;32486;0;24564;18781;25058;33982;27430;41466;41168;-1
217;52949;28255;29195;35297;31824;43430;34745;26089;30645;30786;25073;45339;22101;34650;38172;30757;24564;0;32760;27751;44522;24619;48337;37023;-1
218;39239;46331;53239;19157;31569;28255;37313;28245;36864;43794;36848;39744;43129;26860;21797;37839;18781;32760;0;43659;25206;27380;26341;40560;-1
219;29068;25997;22334;27243;28769;45140;33779;32879;44601;57405;38817;43897;29344;45877;39427;48903;25058;27751;43659;0;28084;21736;23834;48782;-1
220;26497;19947;38815;50245;32226;29505;38177;28878;21910;29407;30723;48898;41710;27059;29644;25262;33982;44522;25206;28084;0;25741;23134;33428;-1
221;36696;27376;33519;40452;21186;28026;35118;26917;51288;46230;42309;19934;42718;16575;35770;21016;27430;24619;27380;21736;25741;0;30679;30005;-1
222;46052;29089;28304;26283;25448;26767;36996;25430;23643;33030;47213;45822;32944;31366;19742;37125;41466;48337;26341;23834;23134;30679;0;32115;-1
223;40526;31944;35691;19290;27194;27996;29662;34721;40536;40032;31297;42003;28159;32864;22123;21871;41168;37023;40560;48782;33428;30005;32115;0;-1
